match_id, player_slot, account_id, hero_id, kills, deaths, assists, gold_per_min, xp_per_min, last_hits, denies, hero_damage, tower_damage, hero_healing, level, net_worth, item_0, item_1, item_2, item_3, item_4, item_5, backpack_0, backpack_1, backpack_2, team
8565530605,128,217399689,59,8,0,10,604,719,129,16,22540,10228,0,17,13972,154,226,50,151,244,13,0,0,0,dire
8565530605,129,205153804,21,6,1,15,435,506,45,5,10545,5944,125,14,10063,188,180,223,36,0,0,0,0,0,dire
8565530605,130,155918064,75,5,5,21,383,457,35,5,18534,292,0,13,8860,92,29,36,60,254,19,265,38,43,dire
8565530605,131,396418417,74,6,2,5,573,644,147,7,9252,2673,0,16,13255,65,48,108,77,36,16,0,0,0,dire
8565530605,132,203216292,41,9,1,11,637,729,183,13,14577,7229,0,17,14735,63,36,158,147,75,265,11,0,0,dire
8565530503,0,252575301,7,8,4,16,572,548,175,8,22146,3278,0,17,16778,1,36,235,63,277,0,0,0,0,radiant
8565530503,1,203159416,53,11,2,21,709,716,240,8,28012,5944,2413,19,20797,267,154,63,166,112,37,0,0,36,radiant
8565530503,2,911904806,87,4,2,28,338,504,17,2,12884,591,125,16,9914,108,0,36,0,1,180,0,0,0,radiant
8565530503,3,192226761,102,8,0,10,699,760,294,20,15569,16123,300,20,20504,137,1,147,98,77,50,38,0,0,radiant
8565530503,4,895094069,128,10,1,20,428,482,39,4,17164,4262,325,16,12554,102,226,36,180,73,0,0,0,0,radiant
8565530503,128,107631888,49,2,8,3,425,467,190,15,13252,176,0,15,12466,63,8,158,11,73,73,0,0,0,dire
8565530503,129,312457529,2,0,9,4,283,296,120,5,7303,0,0,12,8301,1,127,11,50,36,73,0,0,0,dire
8565530503,130,203265056,20,1,11,5,190,234,27,1,8965,79,0,10,5573,229,73,73,214,34,0,0,0,0,dire
8565530503,131,384861656,64,5,7,3,309,281,71,2,10005,163,0,12,9064,218,36,102,254,180,0,0,0,0,dire
8565530503,132,179598678,13,1,6,3,518,636,270,23,8555,1367,0,18,15194,0,29,36,1806,129,1,0,0,0,dire
8565530303,0,1204713696,52,11,6,7,549,646,130,4,15732,1300,0,17,13578,244,180,1,473,277,41,0,0,0,radiant
8565530303,1,817786325,86,6,1,29,397,618,30,0,10094,298,85,16,9819,1,218,38,180,108,34,0,0,0,radiant
8565530303,2,818204839,14,19,0,10,773,876,229,24,20728,3647,0,20,19118,119,50,1,108,73,36,0,0,0,radiant
8565530303,3,374140577,56,6,3,17,437,529,79,8,10356,12866,0,15,10808,168,36,596,63,236,149,0,0,0,radiant
8565530303,4,1144830776,84,19,4,16,518,581,39,1,24535,2268,0,16,12811,180,36,65,0,232,201,0,0,0,radiant
8565530303,128,1585965596,81,1,11,6,247,248,56,4,5526,0,0,10,6109,0,0,0,0,0,0,0,0,0,dire
8565530303,129,994743852,30,6,11,5,289,268,9,0,9955,0,125,10,7147,0,0,0,0,0,0,0,0,0,dire
8565530303,130,76447486,50,2,12,4,817,275,12,0,8819,0,2018,10,20207,63,534,534,77,36,88,42,1805,23,dire
8565530303,131,1588592161,6,1,15,3,245,326,34,3,6620,0,0,11,6059,0,0,0,0,0,0,0,0,0,dire
8565530303,132,1517632833,39,3,13,3,338,380,72,20,10337,0,0,12,8359,0,0,0,0,0,0,0,0,0,dire
8565530208,0,66431591,37,5,4,16,339,218,16,0,2654,567,172,7,5599,180,37,36,0,0,0,0,0,0,radiant
8565530208,1,32496948,8,56,1,28,983,624,36,1,40944,675,0,13,16235,102,1,154,252,149,63,14,11,34,radiant
8565530208,2,1890495956,68,21,0,30,672,672,48,1,14151,6203,0,14,11099,166,36,569,247,69,0,0,0,0,radiant
8565530208,3,219533654,35,1,0,1,505,490,97,2,685,7582,0,11,8340,44,236,216,63,166,0,0,0,0,radiant
8565530208,4,40531789,31,15,3,20,447,293,15,3,12456,956,0,8,7382,232,256,0,180,36,0,0,0,0,radiant
8565530208,128,825605968,79,0,21,0,130,20,0,0,1228,0,0,2,2147,36,0,0,0,0,0,0,0,0,dire
8565530208,129,826334870,90,0,22,1,162,28,2,0,951,0,0,2,2675,214,23,0,0,0,0,0,0,0,dire
8565530208,130,826371804,78,0,22,0,132,44,1,0,1286,0,0,3,2180,180,0,0,0,0,0,0,0,0,dire
8565530208,131,824594650,39,3,19,0,241,72,1,0,2601,0,0,4,3980,77,29,0,0,0,0,0,0,0,dire
8565530208,132,824616444,51,0,19,0,192,133,1,0,1158,0,0,5,3171,29,34,16,0,0,0,0,0,0,dire
8565529716,0,,21,5,2,22,365,442,35,12,10478,1526,317,13,8358,73,40,180,36,240,65,0,0,0,radiant
8565529716,1,,99,4,0,13,476,472,121,15,8196,2400,0,13,10900,121,127,125,0,50,0,0,0,0,radiant
8565529716,2,,90,13,1,9,599,569,150,1,15587,2727,3216,15,13717,244,16,204,77,48,11,0,0,0,radiant
8565529716,3,,41,13,0,23,654,614,141,26,21005,10900,0,16,14976,63,172,147,36,158,11,0,0,0,radiant
8565529716,4,143615685,128,8,4,24,368,419,10,3,14584,3427,384,13,8427,180,40,206,36,0,60,0,0,0,radiant
8565529716,128,,20,1,3,2,273,346,73,0,4857,0,0,11,6251,0,29,152,149,0,0,0,0,0,dire
8565529716,129,120849298,30,2,8,3,270,222,19,3,10846,0,1773,9,6183,254,36,0,42,180,0,0,0,0,dire
